PropertyName,MeanSale,MedianSale,MeanRental,MedianRental,%toBreakEven,NSale,NRental,NError,URL
The Mansions,5943500.0,5925000.0,10793.333333333334,15500.0,64.75331077411539,20,3,0,https://www.propertyguru.com.my/condo/the-mansions-9758
"Southlake, Desa Parkcity",2700000.0,2880000.0,5000.0,5000.0,42.97304730473047,16,4,0,https://www.propertyguru.com.my/condo/southlake-desa-parkcity-9767
Anjung Damai,1900000.0,1900000.0,5800.0,5500.0,71.6519020323085,1,5,0,https://www.propertyguru.com.my/condo/anjung-damai-9779
Amelia,2721000.0,2515000.0,9000.0,9000.0,88.57744621380628,20,4,0,https://www.propertyguru.com.my/condo/amelia-9819
Taman Desa Jaya Kepong,647549.95,580000.0,1240.0,1200.0,51.21201775349949,20,5,0,https://www.propertyguru.com.my/condo/taman-desa-jaya-kepong-10008
Taman Golden,1166666.6666666667,1200000.0,2766.6666666666665,3300.0,68.06930693069307,3,3,0,https://www.propertyguru.com.my/condo/taman-golden-12242
Taman Segambut Aman,430000.0,430000.0,2600.0,2600.0,149.66612940363802,3,1,0,https://www.propertyguru.com.my/condo/taman-segambut-aman-12478
Damai Citra,1207400.0,1200000.0,2000.0,2000.0,41.25412541254125,15,1,0,https://www.propertyguru.com.my/condo/damai-citra-12849
Sommerset Close,580583.3333333334,540000.0,2100.0,2100.0,96.25962596259626,12,1,0,https://www.propertyguru.com.my/condo/sommerset-close-12576
KH Villa @ Sri Hartamas,4938307.692307692,5000000.0,9925.0,10000.0,49.504950495049506,13,8,0,https://www.propertyguru.com.my/condo/kh-villa-sri-hartamas-13081
Taman Pantai Prima,2025000.0,2025000.0,3000.0,3000.0,36.670333700036664,2,1,0,https://www.propertyguru.com.my/condo/taman-pantai-prima-13184
Taman Bukit Intan,686363.6363636364,758000.0,1900.0,1900.0,62.044463021500036,11,1,0,https://www.propertyguru.com.my/condo/taman-bukit-intan-13743
Fadasons Villa,1312500.0,1200000.0,2600.0,2600.0,53.630363036303635,20,1,0,https://www.propertyguru.com.my/condo/fadasons-villa-14075
"Dale, Lake Fields",1453199.95,1385000.0,3200.0,3200.0,57.1898345069164,20,1,0,https://www.propertyguru.com.my/condo/dale-lake-fields-14261
Bukit OUG Townhouse,691555.5555555555,677500.0,1766.6666666666667,1700.0,62.109531986408975,18,9,0,https://www.propertyguru.com.my/condo/bukit-oug-townhouse-10330
Taman Wahyu,850666.6666666666,863000.0,1900.0,1900.0,54.495600197331434,18,2,0,https://www.propertyguru.com.my/condo/taman-wahyu-10160
Desa Setapak,657850.0,495000.0,1362.5,1300.0,65.00650065006501,20,16,0,https://www.propertyguru.com.my/condo/desa-setapak-10183
Reed,1614000.0,1575000.0,3850.0,3850.0,60.50605060506051,20,2,0,https://www.propertyguru.com.my/condo/reed-10365
KiPark Sri Utara,1620666.6666666667,1600000.0,3350.0,3350.0,51.82549504950495,15,2,0,https://www.propertyguru.com.my/condo/kipark-sri-utara-11968
Taman Tasik Indah,1472450.0,1350000.0,2875.0,3050.0,55.92225889255592,20,4,0,https://www.propertyguru.com.my/condo/taman-tasik-indah-10934
Taman Indah Perdana,592545.4545454546,688000.0,750.0,750.0,26.983076214598203,11,1,0,https://www.propertyguru.com.my/condo/taman-indah-perdana-11062
Damai Jasa,980000.0,980000.0,1550.0,1550.0,39.14932309557487,1,1,0,https://www.propertyguru.com.my/condo/damai-jasa-11890
Taman Mutiara Barat,1972698.2857142857,2000000.0,520.0,520.0,6.435643564356436,7,1,0,https://www.propertyguru.com.my/condo/taman-mutiara-barat-11986
Taman Bunga Raya,614000.0,567500.0,1800.0,1800.0,78.51005364853667,20,4,0,https://www.propertyguru.com.my/condo/taman-bunga-raya-12039
Safa Terraces,2663000.0,2300000.0,6025.0,5800.0,62.41928540680154,20,4,0,https://www.propertyguru.com.my/condo/safa-terraces-10271
Bangsar Park,2413642.8571428573,1690000.0,8190.0,6500.0,95.2018278750952,14,5,0,https://www.propertyguru.com.my/condo/bangsar-park-10438
Taman Kok Doh,566899.9,599999.5,1383.3333333333333,1300.0,53.63040772831007,10,6,0,https://www.propertyguru.com.my/condo/taman-kok-doh-11179
Desa Alpha,640000.0,640000.0,1650.0,1625.0,62.84808168316832,1,4,0,https://www.propertyguru.com.my/condo/desa-alpha-350
